1	Chainsaw Man
2	One Piece
3	Boruto: Two Blue Vortex
4	Dandadan
5	KAIJU NO.8 (Monster #8)
6	SAKAMOTO DAYS
7	SPY x FAMILY
8	The Creepy and Freaky
9	Kagurabachi
10	War of the Adults
11	Nice Prison
12	Ichi the Witch
13	Centuria
14	Blue Box
15	G.G.G.
16	RuriDragon
17	Home at the Horizon
18	Drama Queen
19	MAD
20	I Want To Eat the Arm of a God-Tier Artist
21	The Marshal King
22	Asura’s Verdict
23	Hero Organization
24	Make the Exorcist Fall in Love
25	Hope You're Happy, Lemon
26	Märchen Crown
27	Choujin X
28	Blooming Love
29	Hima-Ten!
30	Embers
31	Seraph of the End: Vampire Reign
32	Kindergarten WARS
33	MARRIAGETOXIN
34	Ultimate Exorcist Kiyoshi
35	Eunuch of Empire
36	Shinobi Undercover
37	Dark Side Hero
38	Monochrome Days
39	Spring Returns to Aoi's Room
40	2.5 Dimensional Seduction
