1	Chainsaw Man
2	One Piece
3	Boruto: Two Blue Vortex
4	Dandadan
5	KAIJU NO.8 (Monster #8)
6	SPY x FAMILY
7	SAKAMOTO DAYS
8	Dragon Ball Super
9	Embers
10	Metaphor: ReFantazio
11	The Marshal King
12	Kagurabachi
13	Eunuch of Empire
14	My Marriage to Saneka
15	Ichi the Witch
16	Drama Queen
17	Centuria
18	Blue Box
19	MAD
20	RuriDragon
21	Darkest Corners of the Heart
22	The Demon of the Stupa
23	The Chrysalis Heart
24	Hero Organization
25	Star of Beethoven
26	Gokurakugai
27	Make the Exorcist Fall in Love
28	When the Fireball Falls for the 100th Time
29	Asura’s Verdict
30	Shinewbi
31	Blue Exorcist
32	Choujin X
33	The Dragon Remains of Edo
34	Hope You're Happy, Lemon
35	Blooming Love
36	Hima-Ten!
37	Seraph of the End: Vampire Reign
38	SHIROMARU
39	Shinobi Undercover
40	MARRIAGETOXIN
