1	Chainsaw Man
2	Boruto: Two Blue Vortex
3	One Piece
4	Dandadan
5	Black Clover
6	KAIJU NO.8 (Monster #8)
7	SPY x FAMILY
8	Drama Queen
9	Kagurabachi
10	Stellar Friends
11	SAKAMOTO DAYS
12	Raise Me, Hero!
13	Sirens Won't Sing For You
14	Ichi the Witch
15	Centuria
16	Blue Box
17	RuriDragon
18	MAD
19	Hero Organization
20	UNDEAD UNLUCK
21	Asura’s Verdict
22	Mission: Yozakura Family
23	Make the Exorcist Fall in Love
24	Hope You're Happy, Lemon
25	Blue Exorcist
26	Seraph of the End: Vampire Reign
27	The mountain of remains on planet Triangle
28	Hima-Ten!
29	Choujin X
30	Blooming Love
31	Shinobi Undercover
32	MARRIAGETOXIN
33	Monochrome Days
34	Waiting for the Sunlight
35	Ryota Killed His Brother
36	Kindergarten WARS
37	Ultimate Exorcist Kiyoshi
38	Beyond The Screen
39	Yattara
40	Bug Ego
