1	Chainsaw Man
2	Boruto: Two Blue Vortex
3	One Piece
4	Drama Queen
5	Dandadan
6	KAIJU NO.8 (Monster #8)
7	SPY x FAMILY
8	Kagurabachi
9	SAKAMOTO DAYS
10	Hunter x Hunter
11	Asura’s Verdict
12	Ichi the Witch
13	Ryota Killed His Brother
14	Centuria
15	Blue Box
16	The Knight and the Corpse
17	MAD
18	RuriDragon
19	Hero Organization
20	Raise Me, Hero!
21	UNDEAD UNLUCK
22	Mission: Yozakura Family
23	Make the Exorcist Fall in Love
24	Gokurakugai
25	Hima-Ten!
26	Blooming Love
27	Hope You're Happy, Lemon
28	Shinobi Undercover
29	Monochrome Days
30	Choujin X
31	MARRIAGETOXIN
32	Seraph of the End: Vampire Reign
33	Blue Exorcist
34	Ultimate Exorcist Kiyoshi
35	Kindergarten WARS
36	Yattara
37	Bug Ego
38	World Trigger
39	Syd Craft: Love Is a Mystery
40	Pretty Guardian Stress
41	Chainsaw Man
42	Boruto: Two Blue Vortex
43	One Piece
44	Drama Queen
45	Dandadan
46	KAIJU NO.8 (Monster #8)
47	SPY x FAMILY
48	Kagurabachi
49	SAKAMOTO DAYS
50	Hunter x Hunter
51	Asura’s Verdict
52	Ichi the Witch
53	Ryota Killed His Brother
54	Centuria
55	Blue Box
56	The Knight and the Corpse
57	MAD
58	RuriDragon
59	Hero Organization
60	Raise Me, Hero!
61	UNDEAD UNLUCK
62	Mission: Yozakura Family
63	Make the Exorcist Fall in Love
64	Gokurakugai
65	Hima-Ten!
66	Blooming Love
67	Hope You're Happy, Lemon
68	Shinobi Undercover
69	Monochrome Days
70	Choujin X
71	MARRIAGETOXIN
72	Seraph of the End: Vampire Reign
73	Blue Exorcist
74	Ultimate Exorcist Kiyoshi
75	Kindergarten WARS
76	Yattara
77	Bug Ego
78	World Trigger
79	Syd Craft: Love Is a Mystery
80	Pretty Guardian Stress
