1	One Piece
2	Boruto: Two Blue Vortex
3	Dandadan
4	SPY x FAMILY
5	Hunter x Hunter
6	SAKAMOTO DAYS
7	Kagurabachi
8	Ichi the Witch
9	Centuria
10	Hitoner
11	MAD
12	RuriDragon
13	Soon, You'll Paint Your Heart Out
14	So you weren't into me?!
15	Asura’s Verdict
16	WITCHRIV
17	MARRIAGETOXIN
18	Baby Road Trippers
19	Kinato's Magic
20	Make the Exorcist Fall in Love
21	Gokurakugai
22	Hope You're Happy, Lemon
23	The Hero’s Bereaved Family
24	Hero Organization
25	Seraph of the End: Vampire Reign
26	Choujin X
27	Drama Queen
28	Subaru the Invincible
29	My Teacher is a Former Psychic Girl
30	Ultimate Exorcist Kiyoshi
31	Twilight Blade
32	Blue Exorcist
33	Akane-banashi
34	War of the Adults
35	Shinobi Undercover
36	We're J-Just Childhood Friends
37	Cannon Master
38	High-End Maid
39	A Scary Story That Happened to Nakamura (Name Changed)
40	Under Doctor
