1	One Piece
2	Boruto: Two Blue Vortex
3	Dandadan
4	SPY x FAMILY
5	Hunter x Hunter
6	SAKAMOTO DAYS
7	Kagurabachi
8	Ichi the Witch
9	Centuria
10	Hitoner
11	MAD
12	RuriDragon
13	MikotoHako
14	Asura’s Verdict
15	Soon, You'll Paint Your Heart Out
16	So you weren't into me?!
17	WITCHRIV
18	MARRIAGETOXIN
19	Baby Road Trippers
20	Kinato's Magic
21	Make the Exorcist Fall in Love
22	Gokurakugai
23	Hope You're Happy, Lemon
24	The Hero’s Bereaved Family
25	Hero Organization
26	Seraph of the End: Vampire Reign
27	Choujin X
28	Drama Queen
29	Subaru the Invincible
30	My Teacher is a Former Psychic Girl
31	Ultimate Exorcist Kiyoshi
32	Blue Exorcist
33	Akane-banashi
34	Twilight Blade
35	War of the Adults
36	Shinobi Undercover
37	We're J-Just Childhood Friends
38	Cannon Master
39	A Scary Story That Happened to Nakamura (Name Changed)
40	Under Doctor
