1	One Piece
2	Boruto: Two Blue Vortex
3	Hunter x Hunter
4	Dandadan
5	SPY x FAMILY
6	Kagurabachi
7	SAKAMOTO DAYS
8	Ichi the Witch
9	Hal Formula
10	Cannon Master
11	Centuria
12	Twilight Blade
13	Hitoner
14	MAD
15	RuriDragon
16	A Questionnaire on the Mouth
17	So you weren't into me?!
18	WITCHRIV
19	Asura’s Verdict
20	MARRIAGETOXIN
21	Make the Exorcist Fall in Love
22	Hope You're Happy, Lemon
23	Kinato's Magic
24	The Hero’s Bereaved Family
25	Gokurakugai
26	Choujin X
27	Hero Organization
28	Drama Queen
29	Seraph of the End: Vampire Reign
30	Ultimate Exorcist Kiyoshi
31	Subaru the Invincible
32	Blue Exorcist
33	My Teacher is a Former Psychic Girl
34	Akane-banashi
35	War of the Adults
36	Shinobi Undercover
37	The Plain Salary Man Turned Out to Be a Hero: He Was Invincible, Only to Be Exposed on His Niece's Dungeon Stream
38	The Chrysalis Heart
39	We're J-Just Childhood Friends
40	Animal Signal
